Suggest_Method,Repeat,Iteration,I,H,C,P,Fluorescence
R-LLM,1,1,I3,H1,C5,P4,1066
R-LLM,1,1,I3,H3,C1,P3,6722
R-LLM,1,2,I5,H2,C4,P1,92071
R-LLM,1,2,I2,H4,C3,P2,84917
R-LLM,1,3,I1,H5,C2,P4,545
R-LLM,1,3,I4,H1,C3,P1,13
R-LLM,1,4,I2,H3,C4,P1,2109
R-LLM,1,4,I5,H5,C1,P3,1706
R-LLM,1,5,I4,H2,C5,P2,14505
R-LLM,1,5,I1,H4,C4,P3,10325
R-LLM,1,6,I5,H4,C2,P2,38684
R-LLM,1,6,I2,H5,C4,P2,596857
R-LLM,1,7,I4,H5,C3,P1,79
R-LLM,1,7,I5,H1,C2,P4,42771
R-LLM,1,8,I2,H1,C4,P3,2434
R-LLM,1,8,I5,H3,C2,P2,622
R-LLM,1,9,I2,H2,C4,P1,4295
R-LLM,1,9,I5,H4,C4,P4,225354
R-LLM,1,10,I2,H1,C1,P2,500
R-LLM,1,10,I5,H2,C3,P2,740
R-LLM,1,11,I2,H3,C5,P1,5717
R-LLM,1,11,I3,H4,C4,P2,451
R-LLM,1,12,I4,H2,C4,P3,1317074
R-LLM,1,12,I3,H5,C2,P2,51
R-LLM,1,13,I1,H3,C3,P4,4138
R-LLM,1,13,I3,H2,C2,P1,844
R-LLM,1,14,I1,H2,C5,P1,300
R-LLM,1,14,I4,H4,C5,P3,83
R-LLM,1,15,I1,H1,C3,P2,3192
R-LLM,1,15,I4,H3,C2,P4,729
R-LLM,1,16,I2,H3,C4,P4,1338
R-LLM,1,16,I5,H5,C4,P3,965
R-LLM,1,17,I3,H4,C1,P1,12391
R-LLM,1,17,I4,H1,C5,P4,1214
R-LLM,1,18,I2,H4,C3,P4,12380
R-LLM,1,18,I1,H5,C5,P3,187
R-LLM,1,19,I2,H1,C5,P4,3087
R-LLM,1,19,I4,H5,C4,P2,1042361
R-LLM,1,20,I5,H3,C5,P4,498
R-LLM,1,20,I2,H4,C1,P4,1682296
R-LLM,1,21,I5,H1,C3,P4,2794
R-LLM,1,21,I2,H5,C1,P1,299
R-LLM,1,22,I5,H2,C5,P3,2388
R-LLM,1,22,I3,H3,C5,P2,1071
